36,0.7114,,,,,,,,,,,,,,,,,,,,,
36,0.3268,,,,,,,,,,,,,,,,,,,,,
36,0.1522,,,,,,,,,,,,,,,,,,,,,
36,0.1621,,,,,,,,,,,,,,,,,,,Defence Static,Defence Dynamic,Attack
36,0.1968,,,,,,,,,0.6383,0.7114,,,,,,,,,0.9606,0.956,0.7114
36,0.0658,,,,,,,,,0.3957,0.3268,,,,,,,,,0.769,0.8428,0.3268
36,0.0892,,,,,,,,,0.2599,0.1522,,,,,,,,,0.8722,0.6998,0.1522
36,0.1245,,,,,,,,,0.1696,0.1621,,,,,,,,,0.735,0.7019,0.1621
36,0.0837,,,,,,,,,0.1639,0.1968,,,,,,,,,0.6639,0.6547,0.1968
36,0.6383,,,,,,,,,0.1075,0.0658,,,,,,,,,0.6384,0.525,0.0658
36,0.3957,,,,,,,,,0.1088,0.0892,,,,,,,,,0.7687,0.5319,0.0892
36,0.2599,,,,,,,,,0.0986,0.1245,,,,,,,,,0.7135,0.4734,0.1245
36,0.1696,,,,,,,,,0.0991,0.0837,,,,,,,,,0.6805,0.4755,0.0837
36,0.1639,,,,,,,,,,,,,,,,,,,,,
36,0.1075,,,,,,,,,,,,,,,,,,,,,
36,0.1088,,,,,,,,,,,,,,,,,,,Defence Static,Defence Dynamic,Attack
36,0.0986,,,,,,,,,0.924,0.956,,,,,,,,,0.9628,0.924,0.6383
36,0.0991,,,,,,,,,0.8603,0.8428,,,,,,,,,0.898,0.8603,0.3957
36,0.956,,,,,,,,,0.6957,0.6998,,,,,,,,,0.8121,0.6957,0.2599
36,0.8428,,,,,,,,,0.6307,0.7019,,,,,,,,,0.7747,0.6307,0.1696
36,0.6998,,,,,,,,,0.6202,0.6547,,,,,,,,,0.6839,0.6202,0.1639
36,0.7019,,,,,,,,,0.5562,0.525,,,,,,,,,0.6496,0.5562,0.1075
36,0.6547,,,,,,,,,0.4863,0.5319,,,,,,,,,0.6487,0.4863,0.1088
36,0.525,,,,,,,,,0.4213,0.4734,,,,,,,,,0.641,0.4213,0.0986
36,0.5319,,,,,,,,,0.4611,0.4755,,,,,,,,,0.588,0.4611,0.0991
36,0.4734,,,,,,,,,,,,,,,,,,,,,
36,0.4755,,,,,,,,,,,,,,,,,,,,,
36,0.924,,,,,,,,,,,,,,,,,,,,,
36,0.8603,,,,,,,,,,,,,,,,,,,,,
36,0.6957,,,,,,,,,,,,,,,,,,,,,
36,0.6307,,,,,,,,,,,,,,,,,,,,,
36,0.6202,,,,,,,,,,,,,,,,,,,,,
36,0.5562,,,,,,,,,,,,,,,,,,,,,
36,0.4863,,,,,,,,,,,,,,,,,,,,,
36,0.4213,,,,,,,,,,,,,,,,,,,,,
36,0.4611,,,,,,,,,,,,,,,,,,,,,
