54,0.9695,,,,,,,
54,0.9666,,,,,,,
54,0.9641,,,,,,,
54,0.9604,,,,,,,
54,0.9643,,,,,,,
54,0.962,,,,,,,
54,0.9609,,,,,,,
54,0.9653,,,,,0.9122,0.9646,0.9695
54,0.9645,,,,,0.7264,0.9633,0.9666
54,0.965,,,,,0.7769,0.9596,0.9641
54,0.9101,,,,,0.6633,0.9202,0.9604
54,0.8893,,,,,0.7378,0.8951,0.9643
54,0.8498,,,,,0.7505,0.8539,0.962
54,0.862,,,,,0.7014,0.7678,0.9609
54,0.8592,,,,,0.5931,0.7568,0.9653
54,0.8366,,,,,0.3321,0.7297,0.9645
54,0.8518,,,,,,,
54,0.8418,,,,,,,
54,0.9646,,,,,,,
54,0.9633,,,,,0.9708,0.9693,0.965
54,0.9596,,,,,0.8699,0.9712,0.9101
54,0.9202,,,,,0.6667,0.968,0.8893
54,0.8951,,,,,0.5873,0.9566,0.8498
54,0.8539,,,,,0.5743,0.9545,0.862
54,0.7678,,,,,0.5841,0.9398,0.8592
54,0.7568,,,,,0.4175,0.9336,0.8366
54,0.7297,,,,,0.4125,0.8276,0.8518
54,0.9693,,,,,0.3145,0.8112,0.8418
54,0.9712,,,,,,,
54,0.968,,,,,,,
54,0.9566,,,,,,,
54,0.9545,,,,,,,
54,0.9398,,,,,,,
54,0.9336,,,,,,,
54,0.8276,,,,,,,
54,0.8112,,,,,,,
54,0.9122,,,,,,,
54,0.7264,,,,,,,
54,0.7769,,,,,,,
54,0.6633,,,,,,,
54,0.7378,,,,,,,
54,0.7505,,,,,,,
54,0.7014,,,,,,,
54,0.5931,,,,,,,
54,0.3321,,,,,,,
54,0.9708,,,,,,,
54,0.8699,,,,,,,
54,0.6667,,,,,,,
54,0.5873,,,,,,,
54,0.5743,,,,,,,
54,0.5841,,,,,,,
54,0.4175,,,,,,,
54,0.4125,,,,,,,
54,0.3145,,,,,,,
